"party","sex","persfinance","natlecon","vote"
"republican","female",1,0,"Bush"
"republican","female",0,-1,"Bush"
"democrat","female",0,-1,"Clinton"
"republican","male",0,-1,"Bush"
"independent","female",0,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"democrat","female",1,0,"Perot"
"republican","male",0,0,"Bush"
"republican","female",1,-1,"Bush"
"republican","male",0,0,"Perot"
"independent","male",0,-1,"Clinton"
"republican","female",0,0,"Bush"
"democrat","female",0,-1,"Perot"
"republican","female",1,1,"Perot"
"republican","male",-1,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"republican","female",1,-1,"Perot"
"republican","male",-1,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"republican","female",1,-1,"Perot"
"republican","female",0,-1,"Bush"
"republican","male",1,1,"Bush"
"democrat","male",1,-1,"Clinton"
"republican","male",1,-1,"Bush"
"republican","female",1,0,"Bush"
"republican","female",-1,-1,"Bush"
"republican","female",0,-1,"Bush"
"democrat","male",-1,-1,"Perot"
"democrat","female",-1,-1,"Clinton"
"republican","male",1,1,"Bush"
"republican","male",1,0,"Bush"
"republican","male",1,-1,"Bush"
"republican","male",-1,0,"Clinton"
"republican","male",1,-1,"Bush"
"democrat","male",1,-1,"Clinton"
"democrat","male",-1,-1,"Clinton"
"democrat","male",1,0,"Clinton"
"republican","female",-1,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"republican","female",1,0,"Bush"
"republican","male",0,0,"Bush"
"democrat","female",-1,-1,"Clinton"
"democrat","male",-1,-1,"Clinton"
"republican","female",1,-1,"Bush"
"democrat","male",0,-1,"Clinton"
"republican","male",0,0,"Perot"
"democrat","male",1,0,"Bush"
"democrat","female",0,-1,"Clinton"
"republican","male",1,-1,"Bush"
"republican","male",0,0,"Perot"
"democrat","male",-1,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"democrat","female",0,-1,"Clinton"
"republican","female",0,-1,"Bush"
"republican","female",1,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"democrat","female",0,-1,"Clinton"
"republican","male",1,1,"Perot"
"independent","female",0,-1,"Clinton"
"democrat","male",1,-1,"Bush"
"republican","female",1,-1,"Bush"
"republican","female",1,0,"Bush"
"democrat","male",0,0,"Clinton"
"republican","female",-1,-1,"Bush"
"republican","male",1,-1,"Bush"
"republican","male",0,0,"Bush"
"democrat","female",1,-1,"Clinton"
"republican","male",-1,-1,"Bush"
"independent","male",0,-1,"Clinton"
"republican","female",1,0,"Perot"
"republican","male",-1,0,"Bush"
"republican","male",0,0,"Bush"
"republican","male",-1,-1,"Bush"
"republican","male",1,0,"Bush"
"republican","male",1,1,"Bush"
"republican","male",0,0,"Perot"
"democrat","male",-1,-1,"Clinton"
"democrat","female",1,-1,"Clinton"
"democrat","male",-1,-1,"Clinton"
"democrat","female",1,-1,"Clinton"
"independent","female",0,-1,"Bush"
"democrat","male",0,-1,"Perot"
"republican","male",-1,0,"Bush"
"republican","male",1,0,"Clinton"
"democrat","female",-1,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"republican","female",0,-1,"Perot"
"democrat","male",1,0,"Clinton"
"democrat","male",0,-1,"Clinton"
"republican","male",0,0,"Bush"
"republican","male",0,-1,"Bush"
"democrat","male",0,-1,"Clinton"
"republican","male",0,0,"Bush"
"republican","female",0,0,"Bush"
"democrat","male",0,-1,"Clinton"
"democrat","female",-1,-1,"Bush"
"republican","male",1,-1,"Bush"
"republican","female",0,0,"Perot"
"democrat","male",1,0,"Clinton"
"democrat","female",-1,-1,"Clinton"
"republican","female",1,-1,"Bush"
"democrat","female",1,-1,"Clinton"
"democrat","male",1,-1,"Clinton"
"republican","female",1,-1,"Bush"
"democrat","female",1,-1,"Clinton"
"independent","male",-1,-1,"Bush"
"democrat","female",1,-1,"Clinton"
"independent","female",1,0,"Clinton"
"democrat","female",-1,-1,"Clinton"
"republican","male",0,-1,"Bush"
"republican","male",1,0,"Perot"
"republican","male",0,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"independent","male",-1,-1,"Perot"
"democrat","female",0,-1,"Clinton"
"democrat","male",-1,0,"Clinton"
"republican","male",-1,0,"Perot"
"democrat","female",-1,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"democrat","female",1,-1,"Clinton"
"republican","male",0,-1,"Bush"
"republican","male",-1,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"democrat","female",0,-1,"Clinton"
"independent","female",1,-1,"Clinton"
"republican","female",1,-1,"Bush"
"independent","female",1,0,"Clinton"
"democrat","female",1,-1,"Clinton"
"republican","female",-1,-1,"Bush"
"democrat","male",0,-1,"Perot"
"democrat","female",1,-1,"Perot"
"independent","male",-1,-1,"Clinton"
"democrat","male",0,-1,"Clinton"
"republican","female",0,-1,"Clinton"
"democrat","male",0,-1,"Bush"
"democrat","male",0,-1,"Clinton"
"republican","male",1,1,"Bush"
"republican","female",0,-1,"Bush"
"republican","male",1,-1,"Bush"
"democrat","male",1,0,"Clinton"
"democrat","female",0,-1,"Clinton"
"democrat","female",-1,-1,"Perot"
"democrat","female",0,-1,"Clinton"
"republican","female",1,-1,"Bush"
"republican","female",1,0,"Bush"
"republican","female",0,-1,"Bush"
"republican","male",0,0,"Bush"
"republican","female",1,0,"Bush"
"republican","female",0,-1,"Bush"
"republican","male",1,1,"Perot"
"republican","female",-1,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"democrat","male",-1,0,"Clinton"
"republican","male",1,-1,"Perot"
"democrat","female",-1,0,"Clinton"
"democrat","male",1,-1,"Perot"
"republican","female",-1,-1,"Clinton"
"democrat","female",-1,-1,"Perot"
"republican","female",-1,-1,"Bush"
"democrat","male",1,-1,"Perot"
"democrat","female",1,1,"Bush"
"democrat","male",0,-1,"Clinton"
"democrat","male",-1,0,"Clinton"
"republican","male",0,0,"Bush"
"democrat","female",1,-1,"Clinton"
"democrat","male",0,-1,"Clinton"
"republican","female",-1,-1,"Bush"
"republican","male",1,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"republican","male",1,0,"Bush"
"democrat","female",-1,-1,"Perot"
"democrat","female",-1,-1,"Bush"
"democrat","female",-1,-1,"Bush"
"republican","female",1,-1,"Clinton"
"republican","male",-1,-1,"Bush"
"republican","male",0,-1,"Perot"
"republican","male",-1,-1,"Clinton"
"democrat","male",-1,-1,"Clinton"
"republican","male",-1,-1,"Perot"
"republican","male",0,0,"Bush"
"democrat","male",1,0,"Clinton"
"democrat","male",1,0,"Clinton"
"republican","female",0,1,"Bush"
"republican","male",1,0,"Bush"
"republican","male",0,-1,"Bush"
"democrat","female",0,-1,"Clinton"
"democrat","male",1,-1,"Clinton"
"democrat","female",1,-1,"Clinton"
"democrat","male",0,-1,"Perot"
"democrat","female",-1,-1,"Clinton"
"republican","female",1,0,"Bush"
"democrat","male",-1,-1,"Clinton"
"democrat","female",1,-1,"Clinton"
"republican","female",0,-1,"Bush"
"republican","male",0,-1,"Bush"
"democrat","female",0,0,"Clinton"
"republican","male",0,0,"Perot"
"democrat","female",-1,-1,"Perot"
"independent","male",1,0,"Perot"
"independent","female",0,-1,"Bush"
"independent","male",-1,-1,"Perot"
"republican","female",1,-1,"Bush"
"republican","female",0,1,"Bush"
"independent","male",-1,-1,"Perot"
"republican","female",1,-1,"Perot"
"republican","male",1,1,"Bush"
"democrat","male",-1,-1,"Clinton"
"republican","female",0,-1,"Bush"
"republican","female",0,0,"Bush"
"democrat","male",1,1,"Perot"
"republican","female",0,0,"Bush"
"republican","male",1,0,"Bush"
"democrat","male",1,-1,"Clinton"
"independent","female",1,0,"Bush"
"democrat","male",-1,-1,"Clinton"
"independent","male",-1,-1,"Bush"
"republican","male",-1,0,"Perot"
"republican","female",0,0,"Bush"
"democrat","male",1,0,"Clinton"
"republican","male",1,1,"Bush"
"independent","male",-1,-1,"Bush"
"republican","male",0,-1,"Perot"
"republican","female",1,-1,"Bush"
"republican","male",1,0,"Bush"
"republican","female",0,-1,"Bush"
"democrat","male",0,-1,"Perot"
"democrat","female",-1,-1,"Clinton"
"republican","male",1,0,"Perot"
"republican","male",0,0,"Bush"
"republican","male",1,-1,"Bush"
"democrat","female",1,0,"Clinton"
"democrat","female",-1,-1,"Clinton"
"democrat","female",-1,0,"Clinton"
"democrat","female",0,-1,"Clinton"
"republican","female",1,-1,"Bush"
"republican","male",0,-1,"Bush"
"democrat","male",-1,-1,"Perot"
"democrat","female",-1,-1,"Clinton"
"democrat","male",0,-1,"Clinton"
"republican","male",0,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"republican","female",0,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"democrat","male",1,-1,"Clinton"
"republican","male",0,1,"Bush"
"republican","female",0,-1,"Bush"
"republican","female",0,-1,"Perot"
"republican","male",0,-1,"Bush"
"republican","male",1,0,"Bush"
"democrat","male",0,-1,"Clinton"
"republican","male",0,-1,"Bush"
"democrat","female",0,-1,"Clinton"
"democrat","female",1,-1,"Clinton"
"independent","male",1,-1,"Perot"
"independent","female",0,-1,"Perot"
"democrat","male",0,-1,"Clinton"
"republican","female",1,-1,"Bush"
"republican","female",1,-1,"Bush"
"democrat","female",0,-1,"Clinton"
"republican","female",1,-1,"Perot"
"republican","male",1,0,"Perot"
"democrat","male",0,0,"Perot"
"republican","male",-1,-1,"Bush"
"republican","female",-1,-1,"Perot"
"republican","female",1,0,"Bush"
"republican","male",-1,-1,"Bush"
"republican","male",1,-1,"Bush"
"republican","male",0,0,"Bush"
"democrat","female",1,-1,"Perot"
"republican","male",1,-1,"Bush"
"republican","male",0,0,"Bush"
"democrat","female",-1,0,"Clinton"
"democrat","female",-1,-1,"Clinton"
"democrat","female",0,0,"Clinton"
"republican","female",-1,-1,"Bush"
"independent","male",0,0,"Perot"
"independent","male",-1,-1,"Perot"
"republican","female",0,-1,"Bush"
"democrat","male",-1,-1,"Clinton"
"republican","female",-1,-1,"Bush"
"republican","female",-1,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"republican","male",-1,-1,"Bush"
"democrat","male",-1,0,"Clinton"
"democrat","female",-1,-1,"Clinton"
"republican","male",0,0,"Bush"
"democrat","male",0,0,"Clinton"
"democrat","male",0,-1,"Clinton"
"republican","male",1,-1,"Bush"
"republican","female",-1,-1,"Bush"
"republican","female",0,-1,"Bush"
"democrat","male",0,-1,"Clinton"
"republican","male",1,0,"Bush"
"republican","female",1,-1,"Bush"
"democrat","male",1,-1,"Clinton"
"republican","male",1,1,"Bush"
"democrat","female",-1,-1,"Clinton"
"democrat","female",1,-1,"Clinton"
"independent","male",1,0,"Clinton"
"republican","male",1,-1,"Bush"
"democrat","female",1,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"democrat","male",1,-1,"Clinton"
"democrat","male",1,-1,"Perot"
"republican","male",0,-1,"Bush"
"democrat","female",1,-1,"Clinton"
"republican","male",0,-1,"Bush"
"democrat","male",0,-1,"Clinton"
"republican","female",-1,-1,"Bush"
"republican","female",0,0,"Bush"
"democrat","female",1,0,"Perot"
"republican","male",0,-1,"Perot"
"democrat","female",1,-1,"Perot"
"democrat","male",1,-1,"Clinton"
"republican","female",-1,-1,"Clinton"
"democrat","male",-1,-1,"Clinton"
"independent","male",0,-1,"Perot"
"republican","female",1,0,"Perot"
"republican","male",-1,-1,"Clinton"
"democrat","male",0,0,"Clinton"
"democrat","female",-1,-1,"Clinton"
"democrat","male",1,-1,"Clinton"
"democrat","female",0,-1,"Clinton"
"independent","female",1,-1,"Perot"
"democrat","male",-1,-1,"Clinton"
"democrat","male",-1,0,"Clinton"
"independent","male",-1,-1,"Clinton"
"republican","female",-1,-1,"Perot"
"republican","male",1,1,"Bush"
"democrat","female",-1,-1,"Clinton"
"democrat","male",-1,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"republican","female",0,1,"Bush"
"democrat","female",-1,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"republican","female",1,-1,"Bush"
"republican","female",1,-1,"Clinton"
"democrat","female",1,-1,"Clinton"
"republican","female",0,0,"Bush"
"republican","female",1,0,"Bush"
"republican","female",0,-1,"Bush"
"republican","male",1,-1,"Perot"
"republican","male",1,-1,"Bush"
"democrat","female",1,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"republican","female",1,-1,"Perot"
"republican","female",-1,-1,"Bush"
"democrat","male",0,-1,"Clinton"
"democrat","male",0,0,"Clinton"
"republican","male",0,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"republican","male",1,0,"Bush"
"democrat","female",-1,-1,"Clinton"
"republican","female",-1,0,"Bush"
"democrat","female",0,-1,"Clinton"
"republican","male",-1,-1,"Perot"
"republican","female",1,-1,"Clinton"
"independent","male",-1,-1,"Clinton"
"democrat","female",0,-1,"Clinton"
"republican","female",-1,0,"Bush"
"democrat","male",0,-1,"Clinton"
"republican","male",1,-1,"Bush"
"republican","male",0,-1,"Bush"
"republican","female",-1,-1,"Clinton"
"democrat","male",-1,-1,"Clinton"
"democrat","female",0,-1,"Clinton"
"republican","male",0,0,"Perot"
"republican","female",0,0,"Bush"
"republican","female",-1,-1,"Perot"
"republican","female",1,1,"Bush"
"democrat","male",0,-1,"Clinton"
"republican","male",-1,-1,"Perot"
"democrat","female",-1,-1,"Clinton"
"republican","male",1,1,"Bush"
"republican","male",0,-1,"Bush"
"republican","female",0,-1,"Bush"
"independent","female",0,-1,"Clinton"
"democrat","male",-1,-1,"Clinton"
"republican","female",1,1,"Bush"
"independent","male",1,-1,"Clinton"
"democrat","female",1,-1,"Clinton"
"democrat","male",0,-1,"Perot"
"independent","male",-1,-1,"Perot"
"republican","male",1,-1,"Bush"
"republican","female",0,0,"Bush"
"democrat","male",-1,-1,"Clinton"
"independent","male",0,-1,"Perot"
"republican","female",0,-1,"Bush"
"democrat","female",-1,-1,"Clinton"
"democrat","female",1,-1,"Perot"
"democrat","male",-1,0,"Perot"
"republican","male",1,-1,"Bush"
"democrat","male",1,-1,"Clinton"
"republican","male",1,-1,"Bush"
"republican","male",1,-1,"Bush"
"republican","male",0,0,"Bush"
"independent","male",-1,-1,"Clinton"
"independent","female",0,-1,"Perot"
"republican","male",1,-1,"Bush"
"democrat","male",0,0,"Clinton"
"democrat","male",1,-1,"Clinton"
"independent","female",-1,-1,"Clinton"
"democrat","male",0,-1,"Clinton"
"independent","male",-1,-1,"Perot"
"democrat","male",-1,-1,"Perot"
"democrat","male",0,-1,"Clinton"
"republican","female",-1,-1,"Perot"
"democrat","male",0,0,"Clinton"
"democrat","female",-1,-1,"Perot"
"democrat","female",1,-1,"Clinton"
"democrat","female",-1,0,"Clinton"
"republican","female",1,-1,"Bush"
"democrat","male",1,-1,"Clinton"
"democrat","male",1,-1,"Clinton"
"republican","male",-1,-1,"Bush"
"democrat","male",0,1,"Bush"
"democrat","female",1,-1,"Clinton"
"independent","male",0,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
"democrat","female",1,0,"Clinton"
"democrat","female",-1,-1,"Clinton"
"republican","male",1,0,"Bush"
"republican","male",1,0,"Bush"
"democrat","female",-1,-1,"Clinton"
"independent","female",-1,-1,"Clinton"
"republican","male",-1,-1,"Perot"
"democrat","female",0,-1,"Clinton"
"republican","male",1,-1,"Bush"
"republican","male",0,-1,"Clinton"
"democrat","male",-1,-1,"Clinton"
"democrat","female",1,0,"Clinton"
"democrat","female",1,-1,"Clinton"
"democrat","male",1,0,"Perot"
"democrat","male",-1,-1,"Clinton"
"democrat","male",0,-1,"Clinton"
"independent","female",1,0,"Clinton"
"republican","male",1,0,"Bush"
"republican","male",1,1,"Bush"
"democrat","female",1,0,"Clinton"
"republican","female",1,-1,"Perot"
"democrat","female",-1,-1,"Bush"
"democrat","male",-1,-1,"Clinton"
"independent","female",0,-1,"Perot"
"republican","male",-1,0,"Perot"
"independent","female",1,-1,"Bush"
"republican","female",-1,-1,"Bush"
"democrat","male",-1,-1,"Perot"
"republican","female",-1,0,"Bush"
"democrat","female",0,0,"Clinton"
"republican","male",1,-1,"Bush"
"democrat","male",-1,-1,"Clinton"
"democrat","female",-1,-1,"Clinton"
